Name,Year,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Genre,Platform
100 All-Time Favorites,2009.0,Ubisoft,0.35,0.12,0.0,0.04,0.51,Puzzle,DS
100 Classic Books,2008.0,Nintendo,0.13,0.52,0.0,0.02,0.67,Misc,DS
100 Classic Games,2011.0,Rondomedia,0.0,0.03,0.0,0.0,0.04,Misc,DS
1000 Cooking Recipes from ELLE à table,2010.0,Nintendo,0.0,0.02,0.0,0.0,0.03,Misc,DS
1001 Touch Games,2011.0,Avanquest,0.12,0.17,0.0,0.04,0.33,Action,DS
101-in-1 Explosive Megamix,2008.0,Nordcurrent,0.05,0.13,0.0,0.02,0.2,Puzzle,DS
101-in-1 Party Megamix Wii,2009.0,Nordcurrent,0.19,0.01,0.0,0.02,0.23,Misc,Wii
101-in-1 Sports Megamix,2010.0,Nordcurrent,0.08,0.0,0.0,0.01,0.08,Sports,DS
101-in-1 Sports Party Megamix,2010.0,Nordcurrent,0.02,0.0,0.0,0.0,0.03,Sports,Wii
1080°: TenEighty Snowboarding,1998.0,Nintendo,1.25,0.61,0.13,0.05,2.03,Sports,N64
11eyes: CrossOver,2009.0,5pb,0.0,0.0,0.02,0.0,0.02,Adventure,X360
11eyes: CrossOver,2010.0,5pb,0.0,0.0,0.02,0.0,0.02,Adventure,PSP
12-Sai. Honto no Kimochi,2014.0,Happinet,0.0,0.0,0.07,0.0,0.07,Adventure,3DS
12-Sai. Koisuru Diary,2016.0,Happinet,0.0,0.0,0.04,0.0,0.04,Adventure,3DS
12Riven: The Psi-Climinal of Integral,2008.0,CyberFront,0.0,0.0,0.04,0.0,0.04,Adventure,PS2
15 Days,2009.0,DTP Entertainment,0.0,0.01,0.0,0.0,0.01,Adventure,PC
1701 A.D.,2006.0,Deep Silver,0.0,0.25,0.0,0.05,0.3,Simulation,PC
18 Wheeler: American Pro Trucker,2001.0,Acclaim Entertainment,0.2,0.15,0.0,0.05,0.4,Racing,PS2
18 Wheeler: American Pro Trucker,2002.0,Acclaim Entertainment,0.09,0.02,0.0,0.0,0.11,Racing,GC
18 Wheels of Steel: Extreme Trucker,2009.0,Rondomedia,0.0,0.02,0.0,0.0,0.02,Racing,PC
18 Wheels of Steel: Extreme Trucker 2,2011.0,Rondomedia,0.08,0.02,0.0,0.01,0.11,Racing,PC
187: Ride or Die,2005.0,Ubisoft,0.12000000000000001,0.06999999999999999,0.0,0.02,0.21,Racing,"XB, PS2"
1942,1985.0,Capcom,0.65,0.14,0.21,0.0,1.0,Shooter,NES
2 Games in 1 Double Pack: Hot Wheels Velocity X / Hot Wheels World Race,2005.0,THQ,0.09,0.03,0.0,0.0,0.12,Racing,GBA
2 Games in 1 Double Pack: The Incredibles / Finding Nemo: The Continuing Adventures,2007.0,THQ,1.26,0.47,0.0,0.03,1.76,Action,GBA
2 Games in 1: Disney Princess & The Lion King,2004.0,THQ,1.25,0.46,0.0,0.03,1.75,Misc,GBA
2 Games in 1: Disney's Brother Bear / The Lion King 1 1/2,2005.0,THQ,0.22,0.08,0.0,0.01,0.31,Action,GBA
2 Games in 1: Sonic Advance & ChuChu Rocket!,2005.0,THQ,1.31,0.49,0.0,0.03,1.83,Misc,GBA
2 Games in 1: Sonic Battle & ChuChu Rocket!,2005.0,THQ,0.44,0.16,0.0,0.01,0.61,Misc,GBA
2 Games in 1: Sonic Pinball Party & Columns Crown,2005.0,Sega,0.04,0.02,0.0,0.0,0.06,Misc,GBA
2 Games in 1: SpongeBob SquarePants: SuperSponge & Rugrats Go Wild,2005.0,THQ,0.33,0.12,0.0,0.01,0.45,Platform,GBA
2 in 1 Combo Pack: Sonic Heroes / Super Monkey Ball Deluxe,2004.0,Sega,0.4,0.11,0.0,0.02,0.53,Misc,XB
2 in 1 Combo Pack: Sonic Heroes / Super Monkey Ball Deluxe,2013.0,Ubisoft,0.09,0.01,0.0,0.01,0.12,Misc,X360
2-in-1 Game Pack: Spider-Man & Spider-Man 2,2005.0,Activision,0.06,0.02,0.0,0.0,0.09,Platform,GBA
2002 FIFA World Cup,2002.0,Electronic Arts,0.39,0.22,0.16,0.06999999999999999,0.83,Sports,"GC, XB, PS2"
2010 FIFA World Cup South Africa,2010.0,Electronic Arts,0.94,1.46,0.13,0.47,3.0,Sports,"PS3, X360, PSP, Wii"
2014 FIFA World Cup Brazil,2014.0,Electronic Arts,0.29000000000000004,0.67,0.01,0.2,1.18,Sports,"PS3, X360"
24: The Game,2006.0,Sony Computer Entertainment,0.15,0.12,0.0,0.04,0.3,Adventure,PS2
25 to Life,2006.0,Eidos Interactive,0.47,0.05,0.0,0.06999999999999999,0.59,Shooter,"XB, PS2"
2Xtreme,1996.0,Sony Computer Entertainment,1.15,0.2,0.0,0.05,1.4,Sports,PS
"3 in 1: Solitaire, Mahjong & Tangram",2010.0,Deep Silver,0.0,0.07,0.0,0.01,0.08,Misc,DS
300: March to Glory,2007.0,Warner Bros. Interactive Entertainment,0.27,0.08,0.0,0.06,0.41,Action,PSP
3D Baseball,1996.0,BMG Interactive Entertainment,0.02,0.01,0.0,0.0,0.03,Sports,PS
3D Dot Game Heroes,2009.0,SouthPeak Games,0.36,0.12,0.03,0.07,0.57,Role-Playing,PS3
3D Lemmings,1995.0,Psygnosis,0.03,0.02,0.0,0.0,0.06,Puzzle,PS
3D Tank Warfare Simulator Panzer Front,1999.0,Avalon Interactive,0.06,0.04,0.0,0.01,0.1,Simulation,PS
3DS Classic Collection,2016.0,Sega,0.02,0.0,0.0,0.0,0.03,Misc,3DS
3Xtreme,1999.0,989 Studios,0.5,0.34,0.0,0.06,0.9,Action,PS
3rd Super Robot Wars Z Jigoku Hen,2014.0,Namco Bandai Games,0.0,0.0,0.42000000000000004,0.0,0.42000000000000004,Role-Playing,"PS3, PSV"
3rd Super Robot Wars Z: Tengoku-Hen,2015.0,Namco Bandai Games,0.0,0.0,0.33999999999999997,0.0,0.33999999999999997,Action,"PS3, PSV"
4 Elements,2009.0,Mastertronic,0.0,0.04,0.0,0.01,0.05,Puzzle,PC
4 Game Fun Pack: Monopoly / Boggle / Yahtzee / Battleship,2005.0,Atari,0.11,0.0,0.0,0.01,0.12,Misc,DS
4 Nin uchi Mahjong,1984.0,Nintendo,0.0,0.0,1.45,0.0,1.45,Misc,NES
40 Winks,1999.0,GT Interactive,0.17,0.12,0.0,0.02,0.31,Platform,PS
428: Fuusa Sareta Shibuya de,2008.0,Sega,0.0,0.0,0.13,0.0,0.13,Adventure,Wii
428: Fuusa Sareta Shibuya de,2009.0,Spike,0.0,0.0,0.06,0.0,0.06,Adventure,"PS3, PSP"
4x4 EVO 2,2001.0,Gathering of Developers,0.18,0.05,0.0,0.01,0.24,Racing,XB
4x4 EVO 2,2002.0,Vivendi Games,0.11,0.03,0.0,0.0,0.14,Racing,GC
4x4 Evolution,2001.0,Gathering of Developers,0.16,0.12,0.0,0.04,0.32,Racing,PS2
50 Cent: Blood on the Sand,2009.0,THQ,0.22,0.13,0.01,0.05,0.4,Shooter,"PS3, X360"
50 Cent: Bulletproof,2005.0,Vivendi Games,1.18,0.86,0.0,0.18,2.21,Action,"XB, PS2"
50 Cent: Bulletproof,2006.0,Vivendi Games,0.08,0.0,0.0,0.01,0.09,Action,PSP
50 Classic Games,2009.0,Destineer,0.52,0.0,0.0,0.04,0.55,Misc,DS
50 Classic Games,2012.0,Avanquest Software,0.0,0.02,0.0,0.0,0.02,Misc,3DS
64 de Hakken! Tamagotchi Minna de Tamagotchi World,1997.0,Namco Bandai Games,0.0,0.0,0.22,0.0,0.22,Misc,N64
7 Days to Die,2016.0,Telltale Games,0.05,0.09000000000000001,0.0,0.02,0.16,Action,"PS4, XOne"
7 Roses: A Darkness Rises,2015.0,Avanquest Software,0.0,0.02,0.0,0.0,0.02,Misc,PC
7 Wonders II,2009.0,Rondomedia,0.14,0.15,0.0,0.03,0.32,Puzzle,DS
7 Wonders of the Ancient World,2007.0,Funsta,0.1,0.01,0.0,0.01,0.13,Puzzle,DS
7 Wonders of the Ancient World,2007.0,Mumbo Jumbo,0.07,0.0,0.0,0.01,0.08,Puzzle,PSP
7 Wonders: Treasures of Seven,2011.0,Avanquest,0.02,0.03,0.0,0.01,0.05,Puzzle,DS
7th Dragon,2009.0,Sega,0.0,0.0,0.14,0.0,0.14,Role-Playing,DS
7th Dragon 2020,2011.0,Sega,0.0,0.0,0.2,0.0,0.2,Role-Playing,PSP
7th Dragon 2020-II,2013.0,Sega,0.0,0.0,0.13,0.0,0.13,Role-Playing,PSP
7th Dragon III Code: VFD,2015.0,Sega,0.03,0.0,0.12,0.0,0.16,Role-Playing,3DS
99 no Namida,2008.0,Namco Bandai Games,0.0,0.0,0.04,0.0,0.04,Adventure,DS
"999: Nine Hours, Nine Persons, Nine Doors",2009.0,ChunSoft,0.37,0.0,0.03,0.03,0.43,Adventure,DS
A Boy and His Blob,2009.0,Majesco Entertainment,0.19,0.02,0.0,0.02,0.22,Platform,Wii
A Bug's Life,1998.0,Activision,0.49,0.13,0.0,0.01,0.63,Platform,N64
A Bug's Life,1998.0,Sony Computer Entertainment,1.96,0.72,0.0,0.11,2.79,Platform,PS
A Collection of Activision Classic Games for the Atari 2600,1998.0,Activision,0.76,0.52,0.0,0.09,1.37,Misc,PS
A Collection of Classic Games from the Intellivision,1999.0,Activision,0.17,0.12,0.0,0.02,0.31,Misc,PS
A Game of Thrones: Genesis,2011.0,Focus Home Interactive,0.0,0.03,0.0,0.01,0.04,Strategy,PC
A Good Librarian Like a Good Shepherd: Library Party,2015.0,Kaga Create,0.0,0.0,0.03,0.0,0.03,Action,PSV
A New Beginning,2010.0,Deep Silver,0.0,0.05,0.0,0.01,0.06,Adventure,PC
A Ressha de Gyoukou 2001,2001.0,ArtDink,0.0,0.0,0.03,0.0,0.03,Simulation,PS2
A Ressha de Ikou DS,2009.0,ArtDink,0.0,0.0,0.04,0.0,0.04,Simulation,DS
A Vampyre Story,2008.0,Crimson Cow,0.0,0.01,0.0,0.0,0.02,Adventure,PC
A Witch's Tale,2009.0,Nippon Ichi Software,0.08,0.0,0.03,0.01,0.11,Role-Playing,DS
A llI S.V.: A Ressha de Gyoukou 3 Super Version,1995.0,Pack-In-Video,0.0,0.0,0.06,0.0,0.06,Simulation,SNES
A-Train,1995.0,Sony Computer Entertainment,0.02,0.01,0.04,0.01,0.08,Simulation,PS
A-Train 6,2000.0,Midas Interactive Entertainment,0.0,0.0,0.06,0.0,0.06,Strategy,PS2
A-Train: City Simulator,2014.0,ArtDink,0.0,0.0,0.06,0.0,0.06,Simulation,3DS
A. IV Evolution: A Ressha de Ikou 4,1994.0,ArtDink,0.0,0.0,0.24,0.02,0.25,Strategy,PS
A.C.E.: Another Century's Episode,2005.0,Banpresto,0.0,0.0,0.26,0.0,0.26,Simulation,PS2
A.C.E.: Another Century's Episode 2,2006.0,Banpresto,0.0,0.0,0.18,0.0,0.18,Simulation,PS2
A.C.E.: Another Century's Episode 3: The Final,2007.0,Banpresto,0.0,0.0,0.26,0.0,0.26,Simulation,PS2
A.C.E.: Another Century's Episode Portable,2011.0,Namco Bandai Games,0.0,0.0,0.12,0.0,0.12,Simulation,PSP
A.C.E.: Another Century's Episode R,2010.0,Namco Bandai Games,0.0,0.0,0.26,0.0,0.26,Simulation,PS3
ABBA: You Can Dance,2011.0,Ubisoft,0.19,0.5,0.0,0.11,0.8,Misc,Wii
AC/DC LIVE: Rock Band Track Pack,2008.0,MTV Games,0.75,0.06999999999999999,0.0,0.08,0.91,Misc,"PS3, X360, Wii, PS2"
AIR,2007.0,Prototype,0.0,0.0,0.02,0.0,0.02,Adventure,PSP
AKB1/149: Love Election,2012.0,Namco Bandai Games,0.0,0.0,0.30000000000000004,0.0,0.30000000000000004,Adventure,"PSP, PSV"
AKB1/149: Love Election,2013.0,Namco Bandai Games,0.0,0.0,0.08,0.0,0.08,Adventure,PS3
AKB1/48: Idol to Guam de Koishitara...,2011.0,Namco Bandai Games,0.0,0.0,0.4,0.0,0.4,Misc,PSP
AKB1/48: Idol to Koishitara...,2010.0,Namco Bandai Games,0.0,0.0,0.41,0.0,0.41,Misc,PSP
AKB48+Me,2012.0,Unknown,0.0,0.0,0.11,0.0,0.11,Action,3DS
AMF Bowling 2004,2003.0,Mud Duck Productions,0.22,0.06,0.0,0.01,0.3,Sports,XB
AMF Bowling Pinbusters!,2007.0,Bethesda Softworks,0.85,0.0,0.0,0.07,0.91,Sports,Wii
AMF Bowling Pinbusters!,2008.0,Vir2L Studios,0.06,0.0,0.0,0.0,0.07,Sports,DS
AMF Bowling World Lanes,2008.0,Bethesda Softworks,0.33,0.0,0.0,0.03,0.36,Sports,Wii
AMF Xtreme Bowling,2006.0,Mastertronic,0.01,0.01,0.0,0.0,0.02,Sports,PS2
AMNESIA World,2014.0,Idea Factory,0.0,0.0,0.03,0.0,0.03,Adventure,PSV
APB Reloaded,2011.0,Iceberg Interactive,0.02,0.01,0.0,0.0,0.04,Role-Playing,PC
ASH: Archaic Sealed Heat,2007.0,Nintendo,0.0,0.0,0.12,0.0,0.12,Role-Playing,DS
ATV Offroad Fury,2001.0,Sony Computer Entertainment,2.07,0.26,0.0,0.08,2.41,Racing,PS2
ATV Offroad Fury 2,2002.0,THQ,1.92,0.2,0.0,0.06,2.18,Racing,PS2
ATV Offroad Fury 3,2004.0,SouthPeak Games,1.0,0.04,0.0,0.16,1.2,Racing,PS2
ATV Offroad Fury Pro,2006.0,Sony Computer Entertainment,0.37,0.04,0.0,0.05,0.46,Racing,PSP
ATV Offroad Fury: Blazin' Trails,2005.0,SouthPeak Games,0.53,0.0,0.0,0.04,0.57,Racing,PSP
ATV Quad Kings,2009.0,Zoo Digital Publishing,0.21,0.0,0.0,0.01,0.22,Racing,Wii
ATV Quad Kings,2010.0,Storm City Games,0.1,0.0,0.0,0.01,0.11,Racing,DS
ATV Quad Power Racing 2,2003.0,Acclaim Entertainment,0.99,0.45,0.0,0.13,1.57,Racing,"GC, XB, PS2"
ATV/Monster Truck Mayhem,2007.0,"Destination Software, Inc",0.33,0.0,0.0,0.02,0.36,Racing,DS
ATV: Quad Frenzy,2005.0,Majesco Entertainment,0.1,0.0,0.0,0.01,0.11,Racing,DS
ATV: Quad Power Racing,2000.0,Acclaim Entertainment,0.58,0.39,0.0,0.07,1.04,Racing,PS
ATV: Quad Power Racing,2002.0,Liquid Games,0.18,0.07,0.0,0.0,0.26,Racing,GBA
Aa Megami-samaa,2007.0,Marvelous Interactive,0.0,0.0,0.01,0.0,0.01,Adventure,PS2
Abunai: Koi no Sousa Shitsu,2012.0,Quinrose,0.0,0.0,0.01,0.0,0.01,Action,PSP
Abunai: Koi no Sousa Shitsu,2015.0,Asgard,0.0,0.0,0.02,0.0,0.02,Action,PSV
Academy of Champions: Soccer,2009.0,Ubisoft,0.1,0.02,0.0,0.01,0.13,Sports,Wii
Accel World: Ginyoku no Kakusei,2012.0,Namco Bandai Games,0.0,0.0,0.06,0.0,0.06,Adventure,"PS3, PSP"
Accel World: Kasoku no Chouten,2013.0,Namco Bandai Games,0.0,0.0,0.03,0.0,0.03,Adventure,"PS3, PSP"
Ace Attorney 6,2016.0,Capcom,0.0,0.0,0.27,0.0,0.27,Adventure,3DS
Ace Attorney Investigations 2,2011.0,Capcom,0.0,0.0,0.26,0.0,0.26,Adventure,DS
Ace Attorney Investigations: Miles Edgeworth,2009.0,Capcom,0.27,0.15,0.3,0.04,0.76,Adventure,DS
Ace Combat 04: Shattered Skies,2001.0,Sony Computer Entertainment Europe,2.06,0.56,0.38,0.17,3.17,Simulation,PS2
Ace Combat 2,1997.0,Sony Computer Entertainment,0.16,0.11,0.56,0.06,0.89,Simulation,PS
Ace Combat 3: Electrosphere,1999.0,Sony Computer Entertainment,0.22,0.15,0.4,0.05,0.83,Simulation,PS
Ace Combat 5: The Unsung War,2004.0,Sony Computer Entertainment Europe,0.88,0.34,0.32,0.18,1.71,Simulation,PS2
Ace Combat 6: Fires of Liberation,2007.0,Atari,0.69,0.04,0.22,0.06,1.02,Simulation,X360
Ace Combat X: Skies of Deception,2006.0,Namco Bandai Games,0.37,0.31,0.12,0.19,0.99,Simulation,PSP
Ace Combat Zero: The Belkan War,2006.0,Namco Bandai Games,0.15,0.12,0.2,0.04,0.51,Simulation,PS2
Ace Combat: Assault Horizon,2011.0,Namco Bandai Games,0.6,0.28,0.25,0.11000000000000001,1.23,Action,"PS3, X360"
Ace Combat: Assault Horizon Legacy,2011.0,Namco Bandai Games,0.1,0.06,0.08,0.01,0.24,Simulation,3DS
Ace Combat: Joint Assault,2010.0,Namco Bandai Games,0.06,0.05,0.15,0.03,0.29,Simulation,PSP
Achtung Panzer: Kharkov 1943,2010.0,Mamba Games,0.0,0.01,0.0,0.0,0.02,Strategy,PC
Act of Aggression,2015.0,Focus Home Interactive,0.0,0.01,0.0,0.0,0.01,Strategy,PC
Action Bass,2000.0,Take-Two Interactive,0.64,0.43,0.0,0.07,1.14,Action,PS
Action Force,1982.0,CPG Products,0.5,0.03,0.0,0.01,0.54,Action,2600
Active Health with Carol Vorderman,2009.0,Nintendo,0.0,0.18,0.0,0.01,0.19,Sports,DS
Active Life Explorer,2010.0,Namco Bandai Games,0.14,0.0,0.0,0.01,0.15,Sports,Wii
Active Life: Extreme Challenge,2009.0,Namco Bandai Games,0.15,0.27,0.0,0.06,0.48,Sports,Wii
Active Life: Magical Carnival,2011.0,Namco Bandai Games,0.04,0.01,0.0,0.0,0.05,Misc,Wii
Active Life: Outdoor Challenge,2008.0,Atari,0.79,0.44,0.19,0.14,1.55,Sports,Wii
Activision Anthology,2002.0,Activision,0.25,0.19,0.0,0.06,0.5,Misc,PS2
Activision Anthology,2003.0,Activision,0.03,0.01,0.0,0.0,0.05,Misc,GBA
Activision Hits: Remixed,2006.0,Activision,0.05,0.0,0.0,0.0,0.06,Misc,PSP
Actua Tennis,1997.0,Gremlin Interactive Ltd,0.07,0.05,0.0,0.01,0.13,Sports,PS
Adidas Power Soccer,1996.0,Psygnosis,0.02,0.01,0.0,0.0,0.04,Sports,PS
Adidas Power Soccer 98,1998.0,Psygnosis,0.01,0.01,0.0,0.0,0.02,Sports,PS
Adrenalin Misfits,2010.0,Konami Digital Entertainment,0.12,0.02,0.0,0.01,0.14,Racing,X360
Advance Guardian Heroes,2004.0,Ubisoft,0.03,0.01,0.0,0.0,0.04,Role-Playing,GBA
Advance Wars,2001.0,Nintendo,0.5,0.19,0.0,0.01,0.7,Strategy,GBA
Advance Wars 2: Black Hole Rising,2003.0,Nintendo,0.47,0.17,0.0,0.01,0.65,Strategy,GBA
Advance Wars: Dual Strike,2005.0,Nintendo,0.3,0.03,0.04,0.03,0.4,Strategy,DS
Advent Rising,2005.0,THQ,0.1,0.03,0.0,0.0,0.13,Action,XB
Adventure Island,1986.0,Hudson Soft,0.0,0.0,1.05,0.0,1.05,Platform,NES
Adventure Time: Explore the Dungeon Because I Don't Know!,2013.0,D3Publisher,0.17,0.1,0.0,0.03,0.30000000000000004,Action,"PS3, 3DS, X360, WiiU"
Adventure Time: Finn & Jake Investigations,2015.0,Little Orbit,0.14,0.26,0.0,0.05,0.45,Action,"PS3, PS4, X360, XOne, WiiU, 3DS"
Adventure Time: The Secret of the Nameless,2014.0,Little Orbit,0.02,0.0,0.0,0.0,0.03,Adventure,"3DS, X360"
Adventure Time: The Secret of the Nameless Kingdom,2014.0,Little Orbit,0.0,0.15000000000000002,0.0,0.01,0.16999999999999998,Action,"3DS, X360"
Adventures of Lolo,1989.0,HAL Laboratory,0.06,0.0,0.0,0.0,0.06,Puzzle,NES
Adventures of Tron,1981.0,Mattel Interactive,0.63,0.03,0.0,0.01,0.67,Action,2600
Adventures to Go!,2008.0,Zushi Games,0.1,0.0,0.01,0.01,0.13,Role-Playing,PSP
Aedis Eclipse: Generation of Chaos,2006.0,Idea Factory,0.02,0.0,0.0,0.0,0.02,Role-Playing,PSP
Aegis of Earth: Protonovus Assault,2016.0,PQube,0.05,0.02,0.0,0.01,0.09,Action,"PS3, PS4, PSV"
Aeon Flux,2005.0,THQ,0.03,0.02,0.0,0.01,0.05,Action,"XB, PS2"
Aero Elite: Combat Academy,2002.0,Sega,0.04,0.03,0.0,0.01,0.07,Simulation,PS2
Aero Gauge,1997.0,ASCII Entertainment,0.06,0.01,0.0,0.0,0.07,Racing,N64
AeroFighters Assault,1997.0,Video System,0.15,0.04,0.0,0.0,0.19,Action,N64
Afrika,2008.0,Unknown,0.12,0.0,0.08,0.01,0.21,Adventure,PS3
Afro Samurai,2009.0,Atari,0.28,0.1,0.0,0.05,0.44,Action,"PS3, X360"
After Hours Athletes,2011.0,Sony Computer Entertainment,0.0,0.1,0.0,0.03,0.12,Sports,PS3
Again,2009.0,Ackkstudios,0.07,0.0,0.0,0.0,0.07,Adventure,DS
Agassi Tennis Generation,2003.0,DreamCatcher Interactive,0.04,0.03,0.0,0.01,0.09,Sports,PS2
Agatha Christie's The ABC Murders,2016.0,Microids,0.01,0.01,0.0,0.0,0.02,Adventure,PS4
Agatha Christie: And Then There Were None,2008.0,The Adventure Company,0.06,0.01,0.0,0.01,0.08,Adventure,Wii
Agatha Christie: Death on the Nile,2008.0,Big Fish Games,0.0,0.01,0.0,0.0,0.02,Adventure,PC
Agatha Christie: Evil Under the Sun,2008.0,The Adventure Company,0.07,0.02,0.0,0.01,0.09,Adventure,Wii
Agatha Christie: Peril at End House,2009.0,JoWood Productions,0.0,0.01,0.0,0.0,0.01,Adventure,PC
Agatha Christie: The ABC Murders,2009.0,JoWood Productions,0.08,0.01,0.0,0.01,0.1,Adventure,DS
Agatha Christie: The ABC Murders,2016.0,Microids,0.0,0.02,0.0,0.0,0.02,Adventure,PC
Age of Conan: Rise of the Godslayer,2010.0,Funcom,0.0,0.02,0.0,0.0,0.03,Role-Playing,PC
Age of Empires II: The Age of Kings,1999.0,Microsoft Game Studios,0.01,0.08,0.0,0.02,0.1,Strategy,PC
Age of Empires III,2005.0,Microsoft Game Studios,0.0,0.32,0.0,0.07,0.39,Strategy,PC
Age of Empires III: Complete Collection,2009.0,Microsoft Game Studios,0.01,0.12,0.0,0.03,0.17,Strategy,PC
Age of Empires III: Gold Edition,2007.0,Microsoft Game Studios,0.0,0.02,0.0,0.01,0.03,Strategy,PC
Age of Empires III: The Asian Dynasties,2007.0,Microsoft Game Studios,0.0,0.05,0.0,0.01,0.07,Strategy,PC
Age of Empires Online,2011.0,Microsoft Game Studios,0.01,0.04,0.0,0.01,0.06,Strategy,PC
Age of Empires: Collector's Edition,2000.0,Ubisoft,0.02,0.1,0.0,0.02,0.14,Strategy,PC
Age of Empires: Mythologies,2008.0,THQ,0.17,0.03,0.0,0.02,0.22,Strategy,DS
Age of Empires: The Age of Kings,2006.0,THQ,0.19,0.02,0.0,0.02,0.23,Strategy,DS
Age of Mythology,2002.0,Microsoft Game Studios,0.02,0.06,0.0,0.01,0.09,Strategy,PC
Age of Mythology: The Titans,2003.0,Microsoft Game Studios,0.01,0.02,0.0,0.0,0.04,Strategy,PC
Aggressive Inline,2002.0,Acclaim Entertainment,0.26,0.15,0.0,0.04,0.47,Sports,"GC, XB, PS2"
Agile Warrior F-111X,1995.0,Virgin Interactive,0.08,0.05,0.0,0.01,0.14,Simulation,PS
Aibou DS,2009.0,Tecmo Koei,0.0,0.0,0.08,0.0,0.08,Adventure,DS
Aidyn Chronicles: The First Mage,2001.0,THQ,0.08,0.02,0.0,0.0,0.1,Role-Playing,N64
Aikatsu! 2-nin no My Princess,2013.0,Namco Bandai Games,0.0,0.0,0.26,0.0,0.26,Action,3DS
Aikatsu! 365 Idol Days,2014.0,Namco Bandai Games,0.0,0.0,0.13,0.0,0.13,Adventure,3DS
Aikatsu! Cinderella Lesson,2012.0,Namco Bandai Games,0.0,0.0,0.2,0.0,0.2,Role-Playing,3DS
Aikatsu! My No.1 Stage!,2015.0,Namco Bandai Games,0.0,0.0,0.07,0.0,0.07,Misc,3DS
Ailu de Puzzle,2012.0,Capcom,0.0,0.0,0.04,0.0,0.04,Action,PSP
Air Combat,1995.0,Sony Computer Entertainment,0.92,0.33,0.52,0.05,1.83,Simulation,PS
Air Conflicts: Aces of World War II,2009.0,Graffiti,0.05,0.0,0.0,0.0,0.05,Simulation,PSP
Air Conflicts: Secret Wars,2011.0,bitComposer Games,0.16,0.1,0.0,0.05,0.3,Simulation,"PS3, X360, PC"
Air Raid,1981.0,Men-A-Vision,0.72,0.04,0.0,0.01,0.77,Action,2600
Air Traffic Chaos,2007.0,Ertain,0.05,0.0,0.0,0.0,0.05,Simulation,DS
AirForce Delta Storm,2001.0,Konami Digital Entertainment,0.14,0.04,0.0,0.01,0.18,Shooter,XB
AirForce Delta Storm,2002.0,Konami Digital Entertainment,0.02,0.01,0.0,0.0,0.02,Shooter,GBA
AirForce Delta Strike,2004.0,Konami Digital Entertainment,0.05,0.04,0.0,0.01,0.11,Simulation,PS2
Airblade,2001.0,Sony Computer Entertainment,0.11,0.09,0.0,0.03,0.23,Sports,PS2
Airborne Troops: Countdown to D-Day,2005.0,Playlogic Game Factory,0.06,0.05,0.0,0.02,0.12,Shooter,PS2
Airline Tycoon,2000.0,Interplay,0.0,0.01,0.0,0.0,0.02,Simulation,PC
Airline Tycoon 2,2011.0,Kalypso Media,0.0,0.04,0.0,0.01,0.05,Simulation,PC
Airlock,1981.0,Data Age,0.36,0.02,0.0,0.0,0.39,Action,2600
Airport Simulator,2011.0,Unknown,0.0,0.02,0.0,0.0,0.02,Simulation,PC
Airship Q,2015.0,Cygames,0.0,0.0,0.03,0.0,0.03,Platform,PSV
